CustomerID,Recency,Frequency,Monetary,Profit,R_score,F_score,M_score,Segment,CLV
12346,105,2,0.0,0.0,1,2,1,At Risk,0.0
12347,26,3,1823.43,729.3720000000001,3,3,4,Regular,5470.29
12348,28,3,1487.24,594.896,3,3,4,Regular,4461.72
12350,89,1,334.4,133.76000000000002,1,1,2,Regular,334.4
12352,41,8,601.1800000000001,240.472,3,4,3,Loyal,4809.4400000000005
12354,11,1,1079.4,431.76,4,1,4,Regular,1079.4
12356,24,2,2753.08,1101.232,3,2,4,Regular,5506.16
12359,19,3,2350.61,940.244,4,3,4,Regular,7051.83
12361,66,1,189.9,75.96000000000001,2,1,1,Regular,189.9
12362,5,3,969.4399999999999,387.776,4,3,4,Regular,2908.3199999999997
12363,21,1,299.1,119.64000000000001,4,1,2,Regular,299.1
12365,70,3,320.69,128.276,2,3,2,Regular,962.0699999999999
12370,53,3,2802.66,1121.064,2,3,4,Regular,8407.98
12372,75,1,399.22,159.68800000000002,2,1,2,Regular,399.22
12373,90,1,364.6,145.84,1,1,2,Regular,364.6
12377,94,2,1628.12,651.248,1,2,4,Regular,3256.24
12383,17,5,1739.86,695.944,4,4,4,Loyal,8699.3
12386,116,2,401.9,160.76,1,2,2,At Risk,803.8
12388,54,3,766.25,306.5,2,3,3,Regular,2298.75
12393,25,3,1061.1000000000001,424.44000000000005,3,3,4,Regular,3183.3
12395,40,6,1220.13,488.052,3,4,4,VIP,7320.780000000001
12399,41,1,288.05,115.22,3,1,2,Regular,288.05
12401,82,1,84.3,33.72,2,1,1,Regular,84.3
12402,102,1,225.6,90.24000000000001,1,1,2,At Risk,225.6
12407,14,2,495.96,198.38400000000001,4,2,3,Regular,991.92
12408,24,4,808.26,323.304,3,4,3,Loyal,3233.04
12410,80,3,681.0799999999999,272.432,2,3,3,Regular,2043.2399999999998
12413,15,4,499.95000000000005,199.98000000000002,4,4,3,Loyal,1999.8000000000002
12414,7,2,396.56,158.624,4,2,2,Regular,793.12
12415,5,7,37599.04,15039.616,4,4,4,VIP,263193.28
12417,4,6,1410.73,564.292,4,4,4,VIP,8464.380000000001
12421,98,1,157.45,62.980000000000004,1,1,1,Regular,157.45
12422,104,1,238.5,95.4,1,1,2,At Risk,238.5
12423,25,4,1032.95,413.18,3,4,4,Loyal,4131.8
12427,131,2,246.55,98.62,1,2,2,At Risk,493.1
12428,22,8,6236.2300000000005,2494.492,3,4,4,VIP,49889.840000000004
12429,7,2,1719.48,687.792,4,2,4,Regular,3438.96
12431,64,5,2143.78,857.5120000000001,2,4,4,Loyal,10718.900000000001
12433,145,2,3787.12,1514.848,1,2,4,At Risk,7574.24
12434,29,3,245.3,98.12,3,3,2,Regular,735.9000000000001
12435,47,1,3978.9900000000002,1591.5960000000002,2,1,4,Regular,3978.9900000000002
12437,5,7,1285.02,514.008,4,4,4,VIP,8995.14
12441,146,1,173.55,69.42,1,1,1,At Risk,173.55
12447,22,1,476.49,190.596,3,1,3,Regular,476.49
12451,104,1,2919.5099999999998,1167.804,1,1,4,At Risk,2919.5099999999998
12455,74,2,1698.9,679.5600000000001,2,2,4,Regular,3397.8
12456,34,1,940.1700000000001,376.068,3,1,4,Regular,940.1700000000001
12457,13,5,842.35,336.94,4,4,3,Loyal,4211.75
12458,64,1,441.92,176.768,2,1,3,Regular,441.92
12462,73,2,741.3100000000001,296.524,2,2,3,Regular,1482.6200000000001
12463,20,2,344.57,137.828,4,2,2,Regular,689.14
12464,63,2,363.84999999999997,145.54000000000002,2,2,2,Regular,727.6999999999999
12468,95,1,220.59,88.236,1,1,2,Regular,220.59
12471,24,22,6844.34,2737.736,3,4,4,VIP,150575.48
12472,33,6,2776.96,1110.784,3,4,4,VIP,16661.760000000002
12474,27,11,1856.1,742.44,3,4,4,VIP,20417.1
12476,14,7,2076.25,830.5,4,4,4,VIP,14533.75
12477,18,3,4572.77,1829.1080000000002,4,3,4,Regular,13718.310000000001
12480,46,2,1587.27,634.908,2,2,4,Regular,3174.54
12481,27,6,2221.31,888.524,3,4,4,VIP,13327.86
12483,0,4,822.0600000000001,328.824,4,4,3,Loyal,3288.2400000000002
12484,57,2,1102.17,440.868,2,2,4,Regular,2204.34
12489,115,1,334.93,133.972,1,1,2,At Risk,334.93
12490,109,1,864.22,345.688,1,1,3,At Risk,864.22
12494,70,7,281.5,112.60000000000001,2,4,2,Loyal,1970.5
12500,46,4,1210.2,484.08000000000004,2,4,4,Loyal,4840.8
12501,94,2,2089.68,835.8720000000001,1,2,4,Regular,4179.36
12502,47,2,1320.05,528.02,2,2,4,Regular,2640.1
12503,117,1,-1126.0,-450.4,1,1,1,Loss Customers,-1126.0
12505,80,1,-4.5,-1.8000000000000003,2,1,1,Loss Customers,-4.5
12506,12,1,73.5,29.400000000000002,4,1,1,Regular,73.5
12507,78,1,446.16,178.464,2,1,3,Regular,446.16
12509,63,1,176.5,70.60000000000001,2,1,1,Regular,176.5
12510,104,1,681.05,272.42,1,1,3,At Risk,681.05
12514,46,1,1017.68,407.072,2,1,4,Regular,1017.68
12515,132,1,383.7,153.48000000000002,1,1,2,At Risk,383.7
12520,39,3,1182.21,472.884,3,3,4,Regular,3546.63
12523,32,4,500.19,200.076,3,4,3,Loyal,2000.76
12524,1,4,2432.5,973.0,4,4,4,Loyal,9730.0
12527,74,2,284.92,113.96800000000002,2,2,2,Regular,569.84
12528,38,3,765.46,306.184,3,3,3,Regular,2296.38
12530,13,2,805.0,322.0,4,2,3,Regular,1610.0
12539,41,4,2801.84,1120.736,3,4,4,Loyal,11207.36
12540,39,5,3392.23,1356.892,3,4,4,Loyal,16961.15
12541,60,1,312.4,124.96000000000001,2,1,2,Regular,312.4
12545,38,1,628.15,251.26,3,1,3,Regular,628.15
12547,59,1,159.4,63.76,2,1,1,Regular,159.4
12551,137,1,168.0,67.2,1,1,1,At Risk,168.0
12553,39,7,1345.47,538.188,3,4,4,VIP,9418.29
12557,35,3,4854.62,1941.8480000000004,3,3,4,Regular,14563.86
12559,90,3,536.21,214.484,1,3,3,Regular,1608.63
12561,82,1,238.85,95.54,2,1,2,Regular,238.85
12564,40,1,456.9,182.76,3,1,3,Regular,456.9
12565,61,2,131.17,52.468,2,2,1,Regular,262.34
12567,88,3,3179.11,1271.644,2,3,4,Regular,9537.33
12569,13,4,772.7,309.08000000000004,4,4,3,Loyal,3090.8
12573,6,1,160.54000000000002,64.21600000000001,4,1,1,Regular,160.54000000000002
12574,95,1,218.45,87.38000000000001,1,1,2,Regular,218.45
12576,84,1,266.85,106.74000000000001,2,1,2,Regular,266.85
12577,138,1,195.89,78.35600000000001,1,1,1,At Risk,195.89
12578,96,3,1567.51,627.004,1,3,4,Regular,4702.53
12580,26,1,415.7,166.28,3,1,3,Regular,415.7
12582,18,2,511.36,204.544,4,2,3,Regular,1022.72
12583,53,5,2602.43,1040.972,2,4,4,Loyal,13012.15
12584,50,2,453.73,181.492,2,2,3,Regular,907.46
12585,13,4,1982.81,793.124,4,4,4,Loyal,7931.24
12586,148,1,-17.0,-6.800000000000001,1,1,1,Loss Customers,-17.0
12591,96,1,452.84999999999997,181.14,1,1,3,Regular,452.84999999999997
12594,13,6,1159.54,463.81600000000003,4,4,4,VIP,6957.24
12596,21,1,269.95,107.98,4,1,2,Regular,269.95
12597,47,1,516.15,206.46,2,1,3,Regular,516.15
12598,0,4,1265.34,506.136,4,4,4,Loyal,5061.36
12599,65,2,312.46000000000004,124.98400000000001,2,2,2,Regular,624.9200000000001
12600,4,5,1113.7,445.48,4,4,4,Loyal,5568.5
12601,33,3,368.36,147.344,3,3,2,Regular,1105.08
12604,40,1,178.5,71.4,3,1,1,Regular,178.5
12605,144,1,-7.5,-3.0,1,1,1,Loss Customers,-7.5
12609,97,1,287.93,115.172,1,1,2,Regular,287.93
12613,41,2,821.66,328.664,3,2,3,Regular,1643.32
12614,57,1,315.6,126.24000000000001,2,1,2,Regular,315.6
12616,32,3,229.4,91.76,3,3,2,Regular,688.2
12619,13,2,631.66,252.664,4,2,3,Regular,1263.32
12621,6,7,5077.14,2030.856,4,4,4,VIP,35539.98
12622,11,1,180.1,72.04,4,1,1,Regular,180.1
12623,55,1,305.1,122.04,2,1,2,Regular,305.1
12625,89,2,1647.1200000000001,658.8480000000001,1,2,4,Regular,3294.2400000000002
12626,91,4,1166.55,466.62,1,4,4,Loyal,4666.2
12633,67,1,1012.82,405.12800000000004,2,1,4,Regular,1012.82
12637,18,6,2318.5,927.4,4,4,4,VIP,13911.0
12639,17,1,486.1,194.44,4,1,3,Regular,486.1
12643,0,2,1073.6799999999998,429.472,4,2,4,Regular,2147.3599999999997
12645,95,1,369.29999999999995,147.72,1,1,2,Regular,369.29999999999995
12647,24,7,1956.1599999999999,782.464,3,4,4,VIP,13693.119999999999
12649,144,1,-19.799999999999997,-7.92,1,1,1,Loss Customers,-19.799999999999997
12651,113,1,114.0,45.6,1,1,1,At Risk,114.0
12652,101,2,914.53,365.812,1,2,4,At Risk,1829.06
12653,76,1,779.1,311.64,2,1,3,Regular,779.1
12654,74,1,166.6,66.64,2,1,1,Regular,166.6
12656,13,2,502.95,201.18,4,2,3,Regular,1005.9
12662,18,5,1311.7,524.6800000000001,4,4,4,Loyal,6558.5
12664,11,2,1303.5800000000002,521.432,4,2,4,Regular,2607.1600000000003
12665,104,2,61.75,24.700000000000003,1,2,1,At Risk,123.5
12666,138,1,-227.44,-90.976,1,1,1,Loss Customers,-227.44
12668,28,4,2889.67,1155.868,3,4,4,Loyal,11558.68
12669,28,3,1136.3,454.52,3,3,4,Regular,3408.8999999999996
12670,12,1,633.05,253.22000000000003,4,1,3,Regular,633.05
